product_name,weight_raw,weight_value,weight_unit,price_raw,price,discount_price_raw,discount_price,date,time
Pran Mango Flavored Milk (Pouch),180 ml,180,ml,৳ 25,25,,,29-10-2022,16:54:30
Nestle Milo Activ-Go Powder Drink Pouch,250 gm,250,gm,৳ 270,270,,,29-10-2022,16:54:30
Horlicks Health And Nutrition Drink Jar,500 gm,500,gm,৳ 420,420,,,29-10-2022,16:54:30
Nestle Milo Activ-Go Chocolate Powder Drink Tin,400 gm,400,gm,৳ 430,430,,,29-10-2022,16:54:30
Biomil Infant Milk Cereal 3 Fruits (6 Months),350 gm,350,gm,৳ 350,350,,,29-10-2022,16:54:30
Biomil Infant Milk Cereal 3 Fruits (6 Months),175 gm,175,gm,৳ 180,180,,,29-10-2022,16:54:30
Nestle Nido Growing Up 1+ Tin,900 gm,900,gm,"৳ 3,129",3129,,,29-10-2022,16:54:30
Nestlé Nido 3+ Growing Up Milk Powder (3-5 Y),350 gm,350,gm,৳ 400,400,,,30-10-2022,05:16:57
Pran Mango Flavored Milk (Pouch),180 ml,180,ml,৳ 25,25,,,30-10-2022,05:16:57
Nestle Milo Activ-Go Powder Drink Pouch,250 gm,250,gm,৳ 270,270,,,30-10-2022,05:16:57
Horlicks Health And Nutrition Drink Jar,500 gm,500,gm,৳ 420,420,,,30-10-2022,05:16:57
Nestle Milo Activ-Go Chocolate Powder Drink Tin,400 gm,400,gm,৳ 430,430,,,30-10-2022,05:16:57
Biomil Infant Milk Cereal 3 Fruits (6 Months),350 gm,350,gm,৳ 350,350,,,30-10-2022,05:16:57
Biomil Infant Milk Cereal 3 Fruits (6 Months),175 gm,175,gm,৳ 180,180,,,30-10-2022,05:16:57
Nestle Nido Growing Up 1+ Tin,900 gm,900,gm,"৳ 3,129",3129,,,30-10-2022,05:16:57
Nestlé Nido 3+ Growing Up Milk Powder (3-5 Y),350 gm,350,gm,৳ 400,400,,,30-10-2022,18:17:52
Pran Mango Flavored Milk (Pouch),180 ml,180,ml,৳ 25,25,,,30-10-2022,18:17:52
Nestle Milo Activ-Go Powder Drink Pouch,250 gm,250,gm,৳ 270,270,,,30-10-2022,18:17:52
Horlicks Health And Nutrition Drink Jar,500 gm,500,gm,৳ 420,420,,,30-10-2022,18:17:52
Nestle Milo Activ-Go Chocolate Powder Drink Tin,400 gm,400,gm,৳ 430,430,,,30-10-2022,18:17:52
Biomil Infant Milk Cereal 3 Fruits (6 Months),350 gm,350,gm,৳ 350,350,,,30-10-2022,18:17:52
Biomil Infant Milk Cereal 3 Fruits (6 Months),175 gm,175,gm,৳ 180,180,,,30-10-2022,18:17:52
Nestle Nido Growing Up 1+ Tin,900 gm,900,gm,"৳ 3,129",3129,,,30-10-2022,18:17:52
Nestlé Nido 3+ Growing Up Milk Powder (3-5 Y),350 gm,350,gm,৳ 400,400,,,31-10-2022,05:48:19
Pran Chocolate Flavored Milk (Pouch),180 ml,180,ml,৳ 25,25,,,31-10-2022,05:48:19
Pran Mango Flavored Milk (Pouch),180 ml,180,ml,৳ 25,25,,,31-10-2022,05:48:19
Nestle Milo Activ-Go Powder Drink Pouch,250 gm,250,gm,৳ 270,270,,,31-10-2022,05:48:19
Horlicks Health And Nutrition Drink Jar,500 gm,500,gm,৳ 420,420,,,31-10-2022,05:48:19
Nestle Milo Activ-Go Chocolate Powder Drink Tin,400 gm,400,gm,৳ 430,430,,,31-10-2022,05:48:19
Biomil Infant Milk Cereal 3 Fruits (6 Months),350 gm,350,gm,৳ 350,350,,,31-10-2022,05:48:19
Biomil Infant Milk Cereal 3 Fruits (6 Months),175 gm,175,gm,৳ 180,180,,,31-10-2022,05:48:19
Nestle Nido Growing Up 1+ Tin,900 gm,900,gm,"৳ 3,129",3129,,,31-10-2022,05:48:19
Nestlé Nido 3+ Growing Up Milk Powder (3-5 Y),350 gm,350,gm,৳ 400,400,,,31-10-2022,18:13:27
Pran Chocolate Flavored Milk (Pouch),180 ml,180,ml,৳ 25,25,,,31-10-2022,18:13:27
Pran Mango Flavored Milk (Pouch),180 ml,180,ml,৳ 25,25,,,31-10-2022,18:13:27
Nestle Milo Activ-Go Powder Drink Pouch,250 gm,250,gm,৳ 270,270,,,31-10-2022,18:13:27
Horlicks Health And Nutrition Drink Jar,500 gm,500,gm,৳ 420,420,,,31-10-2022,18:13:27
Nestle Milo Activ-Go Chocolate Powder Drink Tin,400 gm,400,gm,৳ 430,430,,,31-10-2022,18:13:27
Biomil Infant Milk Cereal 3 Fruits (6 Months),350 gm,350,gm,৳ 350,350,,,31-10-2022,18:13:27
Biomil Infant Milk Cereal 3 Fruits (6 Months),175 gm,175,gm,৳ 180,180,,,31-10-2022,18:13:27
Nestle Nido Growing Up 1+ Tin,900 gm,900,gm,"৳ 3,129",3129,,,31-10-2022,18:13:27
Nestlé Nido 3+ Growing Up Milk Powder (3-5 Y),350 gm,350,gm,৳ 400,400,,,01-11-2022,04:13:44
Pran Chocolate Flavored Milk (Pouch),180 ml,180,ml,৳ 25,25,,,01-11-2022,04:13:44
Pran Mango Flavored Milk (Pouch),180 ml,180,ml,৳ 25,25,,,01-11-2022,04:13:44
Nestle Milo Activ-Go Powder Drink Pouch,250 gm,250,gm,৳ 270,270,,,01-11-2022,04:13:44
Horlicks Health And Nutrition Drink Jar,500 gm,500,gm,৳ 420,420,,,01-11-2022,04:13:44
Nestle Milo Activ-Go Chocolate Powder Drink Tin,400 gm,400,gm,৳ 430,430,,,01-11-2022,04:13:44
Biomil Infant Milk Cereal 3 Fruits (6 Months),350 gm,350,gm,৳ 350,350,,,01-11-2022,04:13:44
Biomil Infant Milk Cereal 3 Fruits (6 Months),175 gm,175,gm,৳ 180,180,,,01-11-2022,04:13:44
Nestle Nido Growing Up 1+ Tin,900 gm,900,gm,"৳ 3,129",3129,,,01-11-2022,04:13:44
Nestlé Nido 3+ Growing Up Milk Powder (3-5 Y),350 gm,350,gm,৳ 400,400,,,02-11-2022,02:48:00
Pran Chocolate Flavored Milk (Pouch),180 ml,180,ml,৳ 25,25,,,02-11-2022,02:48:00
Pran Mango Flavored Milk (Pouch),180 ml,180,ml,৳ 25,25,,,02-11-2022,02:48:00
Nestle Milo Activ-Go Powder Drink Pouch,250 gm,250,gm,৳ 270,270,,,02-11-2022,02:48:00
Horlicks Health And Nutrition Drink Jar,500 gm,500,gm,৳ 420,420,,,02-11-2022,02:48:00
Nestle Milo Activ-Go Chocolate Powder Drink Tin,400 gm,400,gm,৳ 430,430,,,02-11-2022,02:48:00
Biomil Infant Milk Cereal 3 Fruits (6 Months),350 gm,350,gm,৳ 350,350,,,02-11-2022,02:48:00
Biomil Infant Milk Cereal 3 Fruits (6 Months),175 gm,175,gm,৳ 180,180,,,02-11-2022,02:48:00
Nestle Nido Growing Up 1+ Tin,900 gm,900,gm,"৳ 3,129",3129,,,02-11-2022,02:48:00
Nestlé Nido 3+ Growing Up Milk Powder (3-5 Y),350 gm,350,gm,৳ 400,400,,,03-11-2022,03:07:20
Pran Chocolate Flavored Milk (Pouch),180 ml,180,ml,৳ 25,25,,,03-11-2022,03:07:20
Pran Mango Flavored Milk (Pouch),180 ml,180,ml,৳ 25,25,,,03-11-2022,03:07:20
Nestle Milo Activ-Go Powder Drink Pouch,250 gm,250,gm,৳ 270,270,,,03-11-2022,03:07:20
Horlicks Health And Nutrition Drink Jar,500 gm,500,gm,৳ 420,420,,,03-11-2022,03:07:20
Nestle Milo Activ-Go Chocolate Powder Drink Tin,400 gm,400,gm,৳ 430,430,,,03-11-2022,03:07:20
Biomil Infant Milk Cereal 3 Fruits (6 Months),350 gm,350,gm,৳ 350,350,,,03-11-2022,03:07:20
Biomil Infant Milk Cereal 3 Fruits (6 Months),175 gm,175,gm,৳ 180,180,,,03-11-2022,03:07:20
Nestle Nido Growing Up 1+ Tin,900 gm,900,gm,"৳ 3,129",3129,,,03-11-2022,03:07:20
Nestlé Nido 3+ Growing Up Milk Powder (3-5 Y),350 gm,350,gm,৳ 400,400,,,04-11-2022,02:48:53
Pran Chocolate Flavored Milk (Pouch),180 ml,180,ml,৳ 25,25,,,04-11-2022,02:48:53
