product_name,weight_raw,weight_value,weight_unit,price_raw,price,discount_price_raw,discount_price,date,time
Whole Deshi Chicken Skin Off ± 25 gm,500 gm,500,gm,৳ 475,475,৳ 459,459,28-10-2022,11:38:41
Whole Deshi Duck (Hash) With Skin,900 gm,900,gm,৳ 599,599,৳ 489,489,28-10-2022,11:38:41
Chicken Liver Gizzard Mix,1 kg,1,kg,৳ 249,249,৳ 229,229,28-10-2022,11:38:41
Whole Layer Chicken Skin Off (Net Weight ± 50 gm),800 gm,800,gm,৳ 529,529,৳ 459,459,28-10-2022,11:38:41
Broiler Chicken Skin Off ± 50 gm,1 kg,1,kg,৳ 339,339,৳ 329,329,29-10-2022,04:15:09
Cock Chicken Skin Off ± 25 gm,500 gm,500,gm,৳ 315,315,৳ 309,309,29-10-2022,04:15:09
Broiler Chicken Skin On ± 50 gm,1 kg,1,kg,৳ 299,299,৳ 289,289,29-10-2022,04:15:09
Roast Chicken ± 10 gm,275 gm,275,gm,৳ 189,189,৳ 179,179,29-10-2022,04:15:09
Bengal Meat Whole Chicken Curry Cut ± 50 gm,1 kg,1,kg,৳ 350,350,,,29-10-2022,04:15:09
Pigeon Meat,each,1,each,৳ 169,169,৳ 159,159,29-10-2022,04:15:09
Whole Deshi Chicken Skin Off ± 25 gm,500 gm,500,gm,৳ 475,475,৳ 459,459,29-10-2022,04:15:09
Whole Deshi Duck (Hash) With Skin,900 gm,900,gm,৳ 599,599,৳ 489,489,29-10-2022,04:15:09
Chicken Liver Gizzard Mix,1 kg,1,kg,৳ 249,249,৳ 229,229,29-10-2022,04:15:09
Whole Layer Chicken Skin Off (Net Weight ± 50 gm),800 gm,800,gm,৳ 529,529,৳ 459,459,29-10-2022,04:15:09
Broiler Chicken Skin Off ± 50 gm,1 kg,1,kg,৳ 329,329,৳ 307,307,29-10-2022,16:54:23
Cock Chicken Skin Off ± 25 gm,500 gm,500,gm,৳ 315,315,৳ 309,309,29-10-2022,16:54:23
Broiler Chicken Skin On ± 50 gm,1 kg,1,kg,৳ 315,315,৳ 279,279,29-10-2022,16:54:23
Roast Chicken ± 10 gm,275 gm,275,gm,৳ 189,189,৳ 179,179,29-10-2022,16:54:23
Bengal Meat Whole Chicken Curry Cut ± 50 gm,1 kg,1,kg,৳ 350,350,,,29-10-2022,16:54:23
Pigeon Meat,each,1,each,৳ 169,169,৳ 159,159,29-10-2022,16:54:23
Whole Deshi Chicken Skin Off ± 25 gm,500 gm,500,gm,৳ 475,475,৳ 459,459,29-10-2022,16:54:23
Whole Deshi Duck (Hash) With Skin,900 gm,900,gm,৳ 599,599,৳ 559,559,29-10-2022,16:54:23
Chicken Liver Gizzard Mix,1 kg,1,kg,৳ 249,249,৳ 229,229,29-10-2022,16:54:23
Whole Layer Chicken Skin Off (Net Weight ± 50 gm),800 gm,800,gm,৳ 529,529,৳ 459,459,29-10-2022,16:54:23
Broiler Chicken Skin Off ± 50 gm,1 kg,1,kg,৳ 329,329,৳ 319,319,30-10-2022,05:16:44
Cock Chicken Skin Off ± 25 gm,500 gm,500,gm,৳ 315,315,৳ 309,309,30-10-2022,05:16:44
Broiler Chicken Skin On ± 50 gm,1 kg,1,kg,৳ 315,315,৳ 279,279,30-10-2022,05:16:44
Roast Chicken ± 10 gm,275 gm,275,gm,৳ 189,189,৳ 179,179,30-10-2022,05:16:44
Bengal Meat Whole Chicken Curry Cut ± 50 gm,1 kg,1,kg,৳ 350,350,,,30-10-2022,05:16:44
Pigeon Meat,each,1,each,৳ 169,169,৳ 159,159,30-10-2022,05:16:44
Whole Deshi Chicken Skin Off ± 25 gm,500 gm,500,gm,৳ 475,475,৳ 459,459,30-10-2022,05:16:44
Whole Deshi Duck (Hash) With Skin,900 gm,900,gm,৳ 599,599,৳ 559,559,30-10-2022,05:16:44
Chicken Liver Gizzard Mix,1 kg,1,kg,৳ 249,249,৳ 229,229,30-10-2022,05:16:44
Whole Layer Chicken Skin Off (Net Weight ± 50 gm),800 gm,800,gm,৳ 529,529,৳ 459,459,30-10-2022,05:16:44
Broiler Chicken Skin Off ± 50 gm,1 kg,1,kg,৳ 329,329,৳ 302,302,30-10-2022,18:17:47
Cock Chicken Skin Off ± 25 gm,500 gm,500,gm,৳ 315,315,৳ 309,309,30-10-2022,18:17:47
